Name,Address,Latitude,Longitude,Type,Editor,Owner/Publisher,Contributors,Printer,Dates,Archives,Notes,OCLC NO,Libraries
La Paz de Cuba,,,,Publication,,,,,1878 - ?,"No existing issues, according to the Recovery index",,,
Thurber-Whyland and Company's Spanish Review,,,,Publication,,,,,1879 - 1885,"No existing issues, according to the Recovery index","This is the publication that became La Revista Ilustrada de Nueva York. Recovery Index doesn't list an end date, but I know that Losada started reimagining it in 1885",,
El Anunciador hispanoamericano ,,,,Publication,,,,,1879-1880,*no existing copies according to Recovery index,,,
Thompson and Moreau print shop,53 Maiden Lane,,,printer,,,,,,,"Printed book of essays in 1880 by Enrique Piñeyro (Lisandro Pérez, 178)",,
La Industria,,,,Publication,,,,,1882 - ?,"No existing issues, according to the Recovery index",,,
El Repertorio Médico,,,,Publication,,,,,1883 - ?,"No existing issues, according to the Recovery index",,,
El Separatista,,,,Publication,,,,,1883 - ?,,,,
Las Novedades,,,,Publication,,,,,1884 - ?,"No existing issues, according to the Recovery index",,,
La República,,,,Publication,,,,,1884 - 1885,"No existing issues, according to the Recovery index",,,
El avisador cubano,,,,Publication,,,Enrique Trujillo,,1885 - 1888,"University of Florida, Gainesville has some issues
UT Dropbox","World Cat lists the following contributors: Colab. José Martí, Francisco Sellén, Luis Alejandro Baralt, Diego Vicente Tejera, Juan Bellido de Luna./ Dir. Enrique Trujillo y Longevilla./ Semanario político, literario, de noticias y anuncios./ Sustituido por: El Avisador hispano-americano, a. 1, nr. 1 1889-1990.

Martí's departure from Gómez - he did not want a filibustering expedition led by a dictator but rather a democratic revolution - knew that he needed to build broad-based support for this within and outside the island (Poyo 68).",1011439633,
La Revista Ilustrada de Nueva York,116 Reade St. ,40.71625,-74.00933,Publication,Nicanor Bolet Peraza,Elías de Losada ,,,1885 - 1890,Microfilm from Washington University,"Building was known as the Thurber Building; really started being published 1886 under the name La Revista but Losada starts his program for the periodical in 1885, according to editorial notes",,
La Revista Ilustrada de Nueva York,124 Chambers St.,40.71527,-74.008705,Publication,Nicanor Bolet Peraza,Elías de Losada,,,1885 - 1893,,Multiple locations - need to add addresses,,
El Anunciador ,,,,Publication,,,,,1885 - 1911,*no existing copies according to Recovery index,,,
El Economista Americano,56 Pine St. ,40.706482,-74.008194,Publication,,,,,1885-?,BN in Cuba may have some issues,"Martí collaborated in this paper; from letter from Martí to Néstor Ponce de León; 2016 Book lists newly found chronicles by Martí from this periodical: El poeta en el mercado de Nueva York :
nuevas crónicas de José Martí en el Economista Americano  by Jorge Camacho",,
La Opinión: Eco de la colonia latinoamericana,,,,Publication,José A. Rodríguez,,,,1886 - ?,"University of Florida, Gainesville has some issues",,1011468387,
Ricardo de Requesens (Printed La Revista Ilustrada de Nueva York) ,14 Ann St. ,40.710712,-74.007614,Printer,,Ricardo de Requesens ,,,1886 - 1886,,,,
La República,,,,Publication,,,,,1887 - ?,"No existing issues, according to the Recovery index",,,
Revista Popular,214 Wooster St.,40.726492,-73.999173,Publication,,R Vélez,,,1887 - ?,"Recovery index says it's in OCLC system in one part of the index, but geographic index says no issues still exist. It does have an OCLC number, and it looks like this is the Revista Popular that UT Austin has in its rare books collection  Benson Collection LAC-Z Rare Books 
 -Q- AP 62 R49  NO.32-34,46,51 1891-92  	 LIB USE ONLY 
","Address listed in directory of Spanish-language businesses in Patria, 1892. 

1900 United States Newspaper Directory locates it at 46 Vesey St, founded in 1888, circulation G (""not exceeding 5,000). (claims to be over 10,000 by late 1890s), editor and publisher J. Beniques
https://babel.hathitrust.org/cgi/pt?id=umn.31951002273861a&view=1up&seq=749&skin=2021&q1=spanish",,
Print shop that printed La Revista Ilustrada de Nueva York ,62 Ann St. ,40.71029,-74.00683,Publication,,B. Michael,,,1887-1890,,,,
El avisador hispano americano,,,,Publication,Enrique Trujillo,,,,1888 - 1889,Critiqued renewed annexationist efforts surrounding the inter-American conference (Poyo 59),,,
La Juventud,,,,Publication,,,,,1889 - ?,,,,
La Edad de Oro,77 William St.,40.70561,-74.009926,Publication,José Martí,,,,1889 - 1889,Edited collection,,,
El Cubano,36 Vessey St,40.712109,-74.010242,Publication,,,,,1889? - ,"Readex database has 1 issue, April 26 1890",also ad for printer M.M. Hernández at the same location,,
Cuba ,,,,Publication,,,,,189? - ??,,This may be the autonomista periodical started by the Spanish government mentioned in Cacarajícara,,
El Independiente,"81 New St., Room 45",40.70554,-74.01256,Publication,,listed as El Independiente Publishing Co.,"I. Carrillo, O. Farril, Enrique Jose Varona, Fidel G. Pierra (F.G.P?), ",,1890 - ?,Readex database has 16 issues,Recovery database says it continues El Cubano; same building as Cacarajícara's first address,,
El Independiente,,,,Publication,,,,,1890 - ?,,Continues El Cubano,,
La Ilustración Norteamericana,,,,Publication,,,,,1890 - ?,"No existing issues, according to Recovery index",,,
"La América Científica, Industrial, Agrícola, y Ganadera",,,,Publication,,,,,1890 - 1909,,,,
El Pensamiento Contemporáneo,,,,Publication,,,,,1891 - 1892,,,,
El Despertar ,"105 Fulton St., Brooklyn",,,Publication,,,,,1891 - 1892,"No existing issues, according to Recovery index; but included in Arte Público Series 2","Mirabel ""In 1891, Campos founded an anarchist weekly in New York, El Despertar""",,
El Despertar ,"181 Adams St., Brooklyn",,,Publication,,,,,1892-1893,,,,
El Despertar ,"242 Pearl St., Brooklyn",,,Publication,,,,,1893-1898,,,,
El Despertar ,"350 Clay St., Paterson NJ",,,Publication,,,,,1898-1902,,,,
El Eco de la Exposición,,,,Publication,,,,,1892 - ?,,,,
El Postillón,,,,Publication,Pachín Marín,, ,,1892 - ?,Recovery index says it's only available at the Biblioteca Nacional in Cuba,"Pachín Marín published poetry here - see Hoffnung-Garskof ""To Abolish"" 340",,
La Revista Médico de Quirúrgica,,,,Publication,,,,,1892 - 1895,,,,
Patria,214 Pearl St. (first location),40.707571,-74.004967,Publication,J.A. Agramonte,Arturo Schomburg,,,1892 - 1895,Some issues in Readex database; CEM CD Rom up to Martí's death,"This is for the first location - need to check when they moved. 
""During the next three years, in the columns of his newspaper Patria and through frequent visits to Florida, Martí amplified his views to the Cuban workers"" (Poyo 104). (second issue called workers to political action]

Schomburg's pen name in Patria, Guarionex, comes from Eugenio María de Hostos's novel La peregrinación de Bayoán, 1863 (Vanessa Valdés, Diasporic Blackness 35).",,
El Quimbo Habanero,,,,Publication,,,,,1893 - ?,,,,
Las Tres Américas,197 Pearl St. ,40.70554,-74.007965,Publication,Nicanor Bolet Peraza,,,,1893 - 1896,ILL through NYPL,"from header on microfilm, vol. 1, issue 1; see Cutler's chapter in The Latino NIneteenth Century

1900 United States Newspaper Directory locates Las Tres Américas at 66.5 Pine St., Circulation JKL",,
El Deber,,,,Publication,,,,,1894 - ?,,,,
A.W. Howes Printer,115 Park Row,40.711877,-74.003682,Printer,,,,,1895 - ?,,"Mentioned in ad in Doctrina de Martí, Oct. 10, 1896. Same name and address appear in Cacarajícar; an 1898 ad in La Doctrina de Martí says this is where that paper is printed. ",,
Cuba Libre,54 Stone St. ,40.704248,-74.010113,Publication,,,,,1895 - ?,Readex database has 8 issues,,,
Cuba Libre,35 and 37 Frankfort St.,40.711811,-74.004889,Publication,,,,,1895 - ?,Readex database has 8 issues,,,
Cuba Libre,114 Nassau St. ,40.710658,-74.007038,Publication,,,,,1895 - ?,Readex database has 8 issues,,,
Guaimaro,"149 Jefferson Av., Brooklyn NY",40.683269,-73.951515,Publication,José Andreu,(administator) Agapito Losa,,,1895 - ?,Readex database has 15 issues,,,
Hijas de Cuba,,,,Publication,,,,,1895 - ?,"World Cat lists and 1874 publication by Emilia de Casanova Villaverde on La Liga de Las Hijas de Cuba    US,FL  UNIV OF FLORIDA GASL                          BNCJM   
   US,FL  UNIV OF MIAMI                                 FQG ; Recovery index says 1895 publication is available in Cuba; I believe Lazo wrote about the 1874 publication    ",,,
Revista Americana de Farmacia,,,,Publication,,,,,1895 - 1921,,,,
Patria,120 and 122 Front St.,40.705853,-74.00544,Publication,José Martí,,,,1895? - 1900,Some issues in Readex database; CEM CD Rom up to Martí's death,,,
Las avispas,,,,Publication,,(director) Justo de Lara,,,1896 - ?,,,,
PJ Díaz Printer,115 Park Row,40.711877,-74.003682,Printer,,,,,1896 - ?,,"Mentioned in ad in Doctrina de Martí, August 22, 1896",,
La Doctrina de Martí,122 W. 33rd St. ,40.749566,-73.989946,Publication,Rafael Serra,,,,1896 - 1898,Readex database has several issues; also available electronically onsite at NYPL,"""The most influential of the numerous newspapers that advanced Martí's through was La Doctrina de Martí, founded in New York in mid-1896. Edited by Rafael Serra..."" (Poyo 128).

Mirabel: On Serra ""he founded and edited two major newspapers:
La Doctrina de Martí: La República con todo y para todos and La Verdad. Headquartered at 122 West 33rd Street, the newspapers circulated throughout Mexico, Central...",,
Cacarajícara,"81 New St., Room 41; 115-117 Park Row",40.70554,-74.01256,Publication,,"Enrique Hernández Miyares, ","F. de P. Coronado, W. Galvez, B. Byrne, R. Bárzaga, (artist) Feliciano Ibañez",,1897 - ?,Readex database has several issues,Mispelled in Recovery index as Concarajícar; first issue at 81 new st. then 115-117 Park Row (starting in second issue - PJ Díaz Printer at 115 Park Row starting in 1896?),,
Cuba y Puerto Rico,,,,Publication,,,,,1897 - ?,,,,
El Correo de América,,,,Publication,,,,,1897 - ?,,,,
Cuba y América,72 1/2 Irving Place,,,Publication,Raimundo Cabrera,M. Montero,,,1897 - 1898,"NYPL has some issues  US,NY  NEW YORK PUB LIBR                                                       NYP     
   US,FL  FLORIDA INT UNIV                              Local Holdings Availa...  FXG     
   US,FL  UNIV OF FLORIDA                               Local Holdings Availa...  FUG     
   US,FL  UNIV OF MIAMI                                 a.6;ser.2:a.3(1902;19...  FQG     
   US,FL  UNIV OF S FLORIDA LIBR                                                  FHM     
   CA,ON  WESTERN UNIV                                                            UWO     ","See Carmen Lamas's contribution to The Latino Nineteenth Century; mentioned by López Mesa as an illustrated magazine


According to Velleman, ""The Cuban Emigrado and the Cultural Unity of the Americas,"" the Sept. 20, 1900 issue (4:91) has a description of Nestor Ponce de León's bookstore.
",,
Borinquen,,,,Publication,,Sotero Figueroa,,,1898 - ?,,"Printed on Figueroa's press (Kaestle, ed. 316)",,
El Independent ,,,,Publication,Fidel G. Pierra,,,,1898 - ?,,,,
El Nacional,,,,Publication,,,,,1898 - ?,,,,
El Universal,,,,Publication,,,,,1898 - ?,"No existing issues, according to the Recovery index",,,
El Mundo Americano,,,,Publication,,,,,1899 - ?,"No existing issues, according to the Recovery index",,,
Socorro Star,,,,Publication,,,,,1899 - ?,,,,
La Estrella del Norte,,,,Publication,,,,,1899 - 19??,,,,
Biblioteca Hispánica ,,,,Publication,,,,,1900 - 1921,,,,
El arte tipográfico ,,,,Publication,,,,,1904 - 1922,,,2445020,University of Pittsburgh
El Comprador Hispano-Americano,,,,Publication,,,,,,"No existing issues, according to Recovery index",,,
Imprenta America print shop,284 and 286 Pearl St.,40.70797,-74.00351,Printer,,Sotero Figueroa,,,,,"Printed Martí’s Patria [Homeland] among many other NYC-based Spanish-language publications; appears to have printed La Revista Ilustrada de Nueva York starting around 1890. Need to find out how this intersected with discussions in the paper about LRI starting its own print shop.
August 1893 copy of La Revista Ilustrada de Nueva York – says published at Comercio, Industrias, Artes, Literatura, e intereses generals de la América Latina, Power and Company – 81 Warren St (Chamberlain and Schulman 48)",,
La América: Periódico Quincenal ,756 Broadway,40.730543,-73.991708,Publication,José Martí,,,,1871,,"Address is from description of the paper in the intro to ""The Brooklyn Bridge"" in José Martí: Selected Writings; according to the same source, Martí was editor and then editor-in-chief around 1883; Recovery index says it's in the OCLC system, but I can't find it; founding date is from López Mesa's book",,
La Sociedad Literaria Hispanoamericana de Nueva York,62 Madison Ave. ,40.743443,-73.98612,Organization,,,,,,,,,
Mercurio de Nueva York,30 Exchange Place (corner of William St.),,,Publication,,,,,1828 - ?,NYPL has some issues on microfilm,"First Spanish-language publication in NYC (Sullivan ed., 34) (but this seems to have been updated by the recovery project; there are newspapers listed there with earlier dates

""Unlike most of the countless New York Spanish-language newspapers that emerged during subsequent decades (many of them short-lived ventures), El Mercurio had no evient political agenda, no advocacy role on behalf of émigrés intent on liberating the homeland. It was a commercial venture by Lanuza, Mendia, and Company, a printing house, publishing firm, and bookstore.."" (Lisandro Pérez, Sugar, Cigars, and Revolution, 81).

Sold in 1829 to printer José Desnoues at 23 Provost St, Eugenio Bergonzio of 7 Nassau St became the paper's business agent (Pérez 82)
",,
El Pochillón,,,,Publication,,,,,1889,,"1889 - Fransciso “Pachín” Marín brought his revolutionary newspaper El Pochillón from Puerto Rico to NYC – also set up print shop there – became a meeting place (Kanellos, Hispanic Literature of the United States 222)",,
Nueva York Ilustrada,,,,Publication,,Appleton,,,,https://catalog.hathitrust.org/Record/009576029,,,
